Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
RHFL,BE,5.51,4.95,267,41.59,2.27
REDTAPE,EQ,124.5,-0.15,6882.45,1.81,2.27
MOM30IETF,EQ,31.22,-0.32,579.95,7.25,2.26
EGOLD,EQ,99.95,0.25,265.34,2.27,2.26
HINDWAREAP,EQ,297.2,-1.88,2485.97,0.75,2.24
SJLOGISTIC,SM,427.9,-0.48,653.97,0.52,2.23
LAOPALA,EQ,252.3,-0.45,2800.53,0.88,2.21
INDOTECH,EQ,1855,-1.58,1970.01,0.12,2.21
SHIVALIK,EQ,496,-2.44,781.22,0.44,2.21
MAHLOG,EQ,326.4,0.35,3237.26,0.68,2.21
NIITMTS,EQ,328.1,-1,4495.99,0.66,2.2
DODLA,EQ,1353,0.01,8162.35,0.16,2.2
SFL,EQ,703.3,0.6,7645.63,0.31,2.19
PAVNAIND,EQ,445,-0.07,620.91,0.49,2.19
SYMPHONY,EQ,955.3,-0.64,6560.18,0.23,2.18
BELLACASA,EQ,432.05,5.78,578.41,0.49,2.16
UFLEX,EQ,545,-2.16,3935.53,0.39,2.15
CAPITALSFB,EQ,303.35,1.34,1372.57,0.7,2.13
HEIDELBERG,EQ,213.69,-0.48,4842.5,0.99,2.12
BAJAJINDEF,EQ,383.85,4.99,1228.32,0.56,2.11
BODALCHEM,EQ,66.9,-0.84,842.57,3.12,2.1
MMTC,EQ,64.15,-1.41,9622.5,3.26,2.1
RAMCOSYS,BE,442.5,4.07,1653.3,0.48,2.1
KARNIKA,SM,917.9,5.02,1138.15,0.23,2.1
BORANA,EQ,216.9,-0.39,577.94,0.97,2.09
JSWHL,EQ,17990,-1.51,19968.23,0.01,2.09
MASPTOP50,EQ,62.95,-1.16,1061.49,3.31,2.09
DEEDEV,EQ,274,-1.4,1894.12,0.76,2.09
ECOSMOBLTY,EQ,291.55,0.67,1749.3,0.71,2.08
VASCONEQ,EQ,51.9,-2.22,1174.43,3.96,2.08
MAHKTECH,EQ,24.82,-0.08,480.79,8.35,2.07
ONMOBILE,EQ,52.01,-2.97,552.98,3.94,2.07
REMSONSIND,EQ,123,-3.1,429.01,1.67,2.07
DYNPRO,EQ,388.75,3.39,483.15,0.52,2.05
SOMANYCERA,EQ,495,-3.85,2029.98,0.41,2.05
RGL,EQ,114.26,-3.12,1225.87,1.73,2.02
AXITA,EQ,8.81,0.11,306.39,22.93,2.02
KRISHNADEF,SM,799.5,0.59,1124.02,0.25,2.02
MEDICO,EQ,39.25,-3.13,325.71,5.07,2.02
CGRAPHICS,SM,215.45,-4.27,523.24,0.93,2.01
SSWL,EQ,211,-0.97,3316.51,0.95,2.01
MOTISONS,EQ,20.14,-1.13,1982.7,9.9,1.99
KSL,EQ,862.2,-0.48,3763.77,0.23,1.98
SANDHAR,EQ,439.5,-1.17,2645.38,0.45,1.98
SHANTIGEAR,EQ,569.5,-3.85,4368.97,0.34,1.97
MOSMALL250,EQ,17.06,-0.35,126.93,11.44,1.95
